Area,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Algeria,Maize,25583,89.0,17379.76,17.91
Algeria,Potatoes,304291,89.0,17379.76,17.91
Algeria,"Rice, paddy",16667,89.0,17379.76,17.91
Algeria,Sorghum,206000,89.0,17379.76,17.91
Algeria,Wheat,17639,89.0,17379.76,17.91
Algeria,Maize,33649,89.0,17278.65,17.65
Algeria,Potatoes,303218,89.0,17278.65,17.65
Algeria,"Rice, paddy",17778,89.0,17278.65,17.65
Algeria,Sorghum,60000,89.0,17278.65,17.65
Algeria,Wheat,19100,89.0,17278.65,17.65
Angola,Cassava,41177,1010.0,64.0,24.12
Angola,Maize,2736,1010.0,64.0,24.12
Angola,Potatoes,40000,1010.0,64.0,24.12
Angola,"Rice, paddy",9512,1010.0,64.0,24.12
Angola,Sweet potatoes,89342,1010.0,64.0,24.12
Angola,Wheat,7995,1010.0,64.0,24.12
Angola,Cassava,40295,1010.0,79.0,24.02
Angola,Maize,4013,1010.0,79.0,24.02
Angola,Potatoes,40000,1010.0,79.0,24.02
Angola,"Rice, paddy",10000,1010.0,79.0,24.02
Angola,Sweet potatoes,83001,1010.0,79.0,24.02
Angola,Wheat,8000,1010.0,79.0,24.02
Angola,Cassava,42295,1010.0,23.0,23.96
Angola,Maize,3778,1010.0,23.0,23.96
Angola,Potatoes,40000,1010.0,23.0,23.96
Angola,"Rice, paddy",9106,1010.0,23.0,23.96
Angola,Sweet potatoes,90000,1010.0,23.0,23.96
Angola,Wheat,8000,1010.0,23.0,23.96
Angola,Cassava,42295,1010.0,169.0,24.15
Angola,Maize,2627,1010.0,169.0,24.15
Angola,Potatoes,70000,1010.0,169.0,24.15
Angola,"Rice, paddy",8000,1010.0,169.0,24.15
Angola,Sweet potatoes,88095,1010.0,169.0,24.15
Angola,Wheat,8876,1010.0,169.0,24.15
Angola,Cassava,58596,1010.0,25.5,24.04
Angola,Maize,2463,1010.0,25.5,24.04
Angola,Potatoes,90000,1010.0,25.5,24.04
Angola,"Rice, paddy",8750,1010.0,25.5,24.04
Angola,Sweet potatoes,83192,1010.0,25.5,24.04
Angola,Wheat,10000,1010.0,25.5,24.04
Angola,Cassava,51000,1010.0,336.0,24.56
Angola,Maize,3517,1010.0,336.0,24.56
Angola,Potatoes,76738,1010.0,336.0,24.56
Angola,"Rice, paddy",14615,1010.0,336.0,24.56
Angola,Sweet potatoes,81138,1010.0,336.0,24.56
Angola,Wheat,11855,1010.0,336.0,24.56
Angola,Cassava,48077,1010.0,40.0,24.11
Angola,Maize,6993,1010.0,40.0,24.11
Angola,Potatoes,70000,1010.0,40.0,24.11
Angola,"Rice, paddy",17500,1010.0,40.0,24.11
Angola,Sweet potatoes,85455,1010.0,40.0,24.11
Angola,Wheat,13738,1010.0,40.0,24.11
Angola,Cassava,44205,1010.0,40.0,24.06
Angola,Maize,5959,1010.0,40.0,24.06
Angola,Potatoes,68571,1010.0,40.0,24.06
Angola,"Rice, paddy",20000,1010.0,40.0,24.06
Angola,Sweet potatoes,78098,1010.0,40.0,24.06
Angola,Wheat,15509,1010.0,40.0,24.06
Angola,Cassava,55728,1010.0,40.0,24.96
Angola,Maize,7396,1010.0,40.0,24.96
Angola,Potatoes,62724,1010.0,40.0,24.96
Angola,"Rice, paddy",20000,1010.0,40.0,24.96
Angola,Sweet potatoes,76256,1010.0,40.0,24.96
Angola,Wheat,17143,1010.0,40.0,24.96
Angola,Cassava,59821,1010.0,40.0,24.37
Angola,Maize,6361,1010.0,40.0,24.37
Angola,Potatoes,54597,1010.0,40.0,24.37
Angola,"Rice, paddy",14235,1010.0,40.0,24.37
Angola,Sweet potatoes,82865,1010.0,40.0,24.37
Angola,Wheat,17391,1010.0,40.0,24.37
Angola,Cassava,82992,1010.0,40.0,24.41
Angola,Maize,5745,1010.0,40.0,24.41
Angola,Potatoes,29885,1010.0,40.0,24.41
Angola,"Rice, paddy",13454,1010.0,40.0,24.41
Angola,Sorghum,3333,1010.0,40.0,24.41
Angola,Soybeans,2333,1010.0,40.0,24.41
Angola,Sweet potatoes,34938,1010.0,40.0,24.41
Angola,Wheat,17023,1010.0,40.0,24.41
Angola,Cassava,94072,1010.0,40.0,24.43
Angola,Maize,5754,1010.0,40.0,24.43
Angola,Potatoes,42552,1010.0,40.0,24.43
Angola,"Rice, paddy",13701,1010.0,40.0,24.43
Angola,Sorghum,3571,1010.0,40.0,24.43
Angola,Soybeans,2500,1010.0,40.0,24.43
Angola,Sweet potatoes,44458,1010.0,40.0,24.43
Angola,Wheat,16667,1010.0,40.0,24.43
Angola,Cassava,110071,1010.0,40.0,24.79
Angola,Maize,6706,1010.0,40.0,24.79
Angola,Potatoes,42754,1010.0,40.0,24.79
Angola,"Rice, paddy",13198,1010.0,40.0,24.79
Angola,Sorghum,3400,1010.0,40.0,24.79
Angola,Soybeans,2857,1010.0,40.0,24.79
Angola,Sweet potatoes,42190,1010.0,40.0,24.79
Angola,Wheat,15455,1010.0,40.0,24.79
Angola,Cassava,125605,1010.0,40.0,24.22
Angola,Maize,5404,1010.0,40.0,24.22
Angola,Potatoes,20150,1010.0,40.0,24.22
Angola,"Rice, paddy",11584,1010.0,40.0,24.22
Angola,Sorghum,3333,1010.0,40.0,24.22
Angola,Soybeans,3600,1010.0,40.0,24.22
Angola,Sweet potatoes,45360,1010.0,40.0,24.22
Angola,Wheat,12442,1010.0,40.0,24.22
Angola,Cassava,117628,1010.0,40.0,24.41
Angola,Maize,6736,1010.0,40.0,24.41
Angola,Potatoes,23646,1010.0,40.0,24.41
Angola,"Rice, paddy",6977,1010.0,40.0,24.41
Angola,Sorghum,3333,1010.0,40.0,24.41
Angola,Soybeans,3793,1010.0,40.0,24.41
Angola,Sweet potatoes,46159,1010.0,40.0,24.41
Angola,Wheat,10946,1010.0,40.0,24.41
Angola,Cassava,117201,1010.0,40.0,24.14
Angola,Maize,4687,1010.0,40.0,24.14
Angola,Potatoes,52148,1010.0,40.0,24.14
Angola,"Rice, paddy",4947,1010.0,40.0,24.14
Angola,Sorghum,4091,1010.0,40.0,24.14
Angola,Soybeans,4286,1010.0,40.0,24.14
Angola,Sweet potatoes,44240,1010.0,40.0,24.14
Angola,Wheat,10000,1010.0,40.0,24.14
Angola,Cassava,115387,1010.0,40.0,24.24
Angola,Maize,5091,1010.0,40.0,24.24
Angola,Potatoes,62138,1010.0,40.0,24.24
Angola,"Rice, paddy",5143,1010.0,40.0,24.24
Angola,Sorghum,4031,1010.0,40.0,24.24
Angola,Soybeans,6883,1010.0,40.0,24.24
Angola,Sweet potatoes,58855,1010.0,40.0,24.24
Angola,Wheat,10000,1010.0,40.0,24.24
Angola,Cassava,148084,1010.0,40.0,24.27
Angola,Maize,7946,1010.0,40.0,24.27
Angola,Potatoes,85085,1010.0,40.0,24.27
Angola,"Rice, paddy",5084,1010.0,40.0,24.27
Angola,Sorghum,929,1010.0,40.0,24.27
Angola,Soybeans,8575,1010.0,40.0,24.27
Angola,Sweet potatoes,65437,1010.0,40.0,24.27
Angola,Wheat,10000,1010.0,40.0,24.27
Angola,Cassava,151759,1010.0,40.0,24.33
Angola,Maize,6614,1010.0,40.0,24.33
Angola,Potatoes,86509,1010.0,40.0,24.33
Angola,"Rice, paddy",6028,1010.0,40.0,24.33
Angola,Sorghum,2480,1010.0,40.0,24.33
Angola,Soybeans,4449,1010.0,40.0,24.33
Angola,Sweet potatoes,66475,1010.0,40.0,24.33
Angola,Wheat,10000,1010.0,40.0,24.33
Angola,Cassava,155782,1010.0,40.0,24.44
Angola,Maize,7200,1010.0,40.0,24.44
Angola,Potatoes,87425,1010.0,40.0,24.44
Angola,"Rice, paddy",7403,1010.0,40.0,24.44
Angola,Sorghum,2814,1010.0,40.0,24.44
Angola,Soybeans,4446,1010.0,40.0,24.44
Angola,Sweet potatoes,63001,1010.0,40.0,24.44
Angola,Wheat,10526,1010.0,40.0,24.44
Angola,Cassava,133649,1010.0,40.0,24.15
Angola,Maize,7376,1010.0,40.0,24.15
Angola,Potatoes,81366,1010.0,40.0,24.15
Angola,"Rice, paddy",8914,1010.0,40.0,24.15
Angola,Sorghum,3320,1010.0,40.0,24.15
Angola,Soybeans,5294,1010.0,40.0,24.15
Angola,Sweet potatoes,65512,1010.0,40.0,24.15
Angola,Wheat,10959,1010.0,40.0,24.15
Angola,Cassava,100073,1010.0,40.0,24.24
Angola,Maize,7770,1010.0,40.0,24.24
Angola,Potatoes,69381,1010.0,40.0,24.24
Angola,"Rice, paddy",7703,1010.0,40.0,24.24
Angola,Sorghum,998,1010.0,40.0,24.24
Angola,Soybeans,1641,1010.0,40.0,24.24
Angola,Sweet potatoes,52954,1010.0,40.0,24.24
Angola,Wheat,11258,1010.0,40.0,24.24
Angola,Cassava,140517,1010.0,40.0,24.55
Angola,Maize,9467,1010.0,40.0,24.55
Angola,Potatoes,63303,1010.0,40.0,24.55
Angola,"Rice, paddy",12744,1010.0,40.0,24.55
Angola,Sorghum,2415,1010.0,40.0,24.55
Angola,Soybeans,4405,1010.0,40.0,24.55
Angola,Sweet potatoes,73409,1010.0,40.0,24.55
Angola,Wheat,9022,1010.0,40.0,24.55
Argentina,Cassava,100000,591.0,26156.0,17.46
Argentina,Cassava,100000,591.0,26156.0,17.67
Argentina,Maize,34608,591.0,26156.0,17.46
Argentina,Maize,34608,591.0,26156.0,17.67
Argentina,Potatoes,202747,591.0,26156.0,17.46
Argentina,Potatoes,202747,591.0,26156.0,17.67
Argentina,"Rice, paddy",36709,591.0,26156.0,17.46
Argentina,"Rice, paddy",36709,591.0,26156.0,17.67
Argentina,Sorghum,28116,591.0,26156.0,17.46
Argentina,Sorghum,28116,591.0,26156.0,17.67
Argentina,Soybeans,21566,591.0,26156.0,17.46
Argentina,Soybeans,21566,591.0,26156.0,17.67
Argentina,Sweet potatoes,131864,591.0,26156.0,17.46
Argentina,Sweet potatoes,131864,591.0,26156.0,17.67
Argentina,Wheat,18947,591.0,26156.0,17.46
Argentina,Wheat,18947,591.0,26156.0,17.67
Argentina,Cassava,100000,591.0,26156.0,17.64
Argentina,Cassava,100000,591.0,26156.0,17.86
Argentina,Maize,40444,591.0,26156.0,17.64
Argentina,Maize,40444,591.0,26156.0,17.86
Argentina,Potatoes,205692,591.0,26156.0,17.64
Argentina,Potatoes,205692,591.0,26156.0,17.86
Argentina,"Rice, paddy",40294,591.0,26156.0,17.64
Argentina,"Rice, paddy",40294,591.0,26156.0,17.86
Argentina,Sorghum,33320,591.0,26156.0,17.64
Argentina,Sorghum,33320,591.0,26156.0,17.86
Argentina,Soybeans,22750,591.0,26156.0,17.64
Argentina,Soybeans,22750,591.0,26156.0,17.86
Argentina,Sweet potatoes,131364,591.0,26156.0,17.64
Argentina,Sweet potatoes,131364,591.0,26156.0,17.86
Argentina,Wheat,18972,591.0,26156.0,17.64
Argentina,Wheat,18972,591.0,26156.0,17.86
Argentina,Cassava,100000,591.0,26156.0,17.09
Argentina,Cassava,100000,591.0,26156.0,17.51
Argentina,Maize,45237,591.0,26156.0,17.09
Argentina,Maize,45237,591.0,26156.0,17.51
Argentina,Potatoes,199039,591.0,26156.0,17.09
Argentina,Potatoes,199039,591.0,26156.0,17.51
Argentina,"Rice, paddy",52075,591.0,26156.0,17.09
Argentina,"Rice, paddy",52075,591.0,26156.0,17.51
Argentina,Sorghum,36217,591.0,26156.0,17.09
Argentina,Sorghum,36217,591.0,26156.0,17.51
Argentina,Soybeans,22915,591.0,26156.0,17.09
Argentina,Soybeans,22915,591.0,26156.0,17.51
Argentina,Sweet potatoes,127273,591.0,26156.0,17.09
Argentina,Sweet potatoes,127273,591.0,26156.0,17.51
Argentina,Wheat,21809,591.0,26156.0,17.09
Argentina,Wheat,21809,591.0,26156.0,17.51
Argentina,Cassava,100000,591.0,26156.0,17.32
Argentina,Cassava,100000,591.0,26156.0,17.53
Argentina,Maize,43552,591.0,26156.0,17.32
Argentina,Maize,43552,591.0,26156.0,17.53
Argentina,Potatoes,210314,591.0,26156.0,17.32
Argentina,Potatoes,210314,591.0,26156.0,17.53
Argentina,"Rice, paddy",43559,591.0,26156.0,17.32
Argentina,"Rice, paddy",43559,591.0,26156.0,17.53
Argentina,Sorghum,39529,591.0,26156.0,17.32
Argentina,Sorghum,39529,591.0,26156.0,17.53
Argentina,Soybeans,21589,591.0,26156.0,17.32
Argentina,Soybeans,21589,591.0,26156.0,17.53
Argentina,Sweet potatoes,122955,591.0,26156.0,17.32
Argentina,Sweet potatoes,122955,591.0,26156.0,17.53
Argentina,Wheat,23272,591.0,26156.0,17.32
Argentina,Wheat,23272,591.0,26156.0,17.53
Argentina,Cassava,100000,591.0,30195.0,18.17
Argentina,Cassava,100000,591.0,30195.0,18.31
Argentina,Maize,42371,591.0,30195.0,18.17
Argentina,Maize,42371,591.0,30195.0,18.31
Argentina,Potatoes,230166,591.0,30195.0,18.17
Argentina,Potatoes,230166,591.0,30195.0,18.31
Argentina,"Rice, paddy",42989,591.0,30195.0,18.17
Argentina,"Rice, paddy",42989,591.0,30195.0,18.31
Argentina,Sorghum,35065,591.0,30195.0,18.17
Argentina,Sorghum,35065,591.0,30195.0,18.31
Argentina,Soybeans,20386,591.0,30195.0,18.17
Argentina,Soybeans,20386,591.0,30195.0,18.31
Argentina,Sweet potatoes,176667,591.0,30195.0,18.17
Argentina,Sweet potatoes,176667,591.0,30195.0,18.31
Argentina,Wheat,20237,591.0,30195.0,18.17
Argentina,Wheat,20237,591.0,30195.0,18.31
Argentina,Cassava,100000,591.0,37842.0,17.74
Argentina,Cassava,100000,591.0,37842.0,17.62
Argentina,Maize,45223,591.0,37842.0,17.74
Argentina,Maize,45223,591.0,37842.0,17.62
Argentina,Potatoes,274272,591.0,37842.0,17.74
Argentina,Potatoes,274272,591.0,37842.0,17.62
Argentina,"Rice, paddy",50306,591.0,37842.0,17.74
Argentina,"Rice, paddy",50306,591.0,37842.0,17.62
Argentina,Sorghum,34588,591.0,37842.0,17.74
Argentina,Sorghum,34588,591.0,37842.0,17.62
Argentina,Soybeans,20446,591.0,37842.0,17.74
Argentina,Soybeans,20446,591.0,37842.0,17.62
Argentina,Sweet potatoes,168000,591.0,37842.0,17.74
Argentina,Sweet potatoes,168000,591.0,37842.0,17.62
Argentina,Wheat,21675,591.0,37842.0,17.74
Argentina,Wheat,21675,591.0,37842.0,17.62
Argentina,Cassava,100000,591.0,54595.0,17.64
Argentina,Cassava,100000,591.0,54595.0,17.97
Argentina,Maize,40397,591.0,54595.0,17.64
Argentina,Maize,40397,591.0,54595.0,17.97
Argentina,Potatoes,228877,591.0,54595.0,17.64
Argentina,Potatoes,228877,591.0,54595.0,17.97
Argentina,"Rice, paddy",51031,591.0,54595.0,17.64
Argentina,"Rice, paddy",51031,591.0,54595.0,17.97
Argentina,Sorghum,38763,591.0,54595.0,17.64
Argentina,Sorghum,38763,591.0,54595.0,17.97
Argentina,Soybeans,21051,591.0,54595.0,17.64
Argentina,Soybeans,21051,591.0,54595.0,17.97
Argentina,Sweet potatoes,170000,591.0,54595.0,17.64
Argentina,Sweet potatoes,170000,591.0,54595.0,17.97
Argentina,Wheat,19344,591.0,54595.0,17.64
Argentina,Wheat,19344,591.0,54595.0,17.97
Argentina,Cassava,100000,591.0,77691.0,18.29
Argentina,Cassava,100000,591.0,77691.0,18.54
Argentina,Maize,45557,591.0,77691.0,18.29
Argentina,Maize,45557,591.0,77691.0,18.54
Argentina,Potatoes,268502,591.0,77691.0,18.29
Argentina,Potatoes,268502,591.0,77691.0,18.54
Argentina,"Rice, paddy",53703,591.0,77691.0,18.29
Argentina,"Rice, paddy",53703,591.0,77691.0,18.54
Argentina,Sorghum,36845,591.0,77691.0,18.29
Argentina,Sorghum,36845,591.0,77691.0,18.54
Argentina,Soybeans,17212,591.0,77691.0,18.29
Argentina,Soybeans,17212,591.0,77691.0,18.54
Argentina,Sweet potatoes,145662,591.0,77691.0,18.29
Argentina,Sweet potatoes,145662,591.0,77691.0,18.54
Argentina,Wheat,22426,591.0,77691.0,18.29
Argentina,Wheat,22426,591.0,77691.0,18.54
Argentina,Cassava,100000,591.0,62397.0,17.23
Argentina,Cassava,100000,591.0,62397.0,17.52
Argentina,Maize,60780,591.0,62397.0,17.23
Argentina,Maize,60780,591.0,62397.0,17.52
Argentina,Potatoes,293744,591.0,62397.0,17.23
Argentina,Potatoes,293744,591.0,62397.0,17.52
Argentina,"Rice, paddy",47762,591.0,62397.0,17.23
Argentina,"Rice, paddy",47762,591.0,62397.0,17.52
Argentina,Sorghum,48105,591.0,62397.0,17.23
Argentina,Sorghum,48105,591.0,62397.0,17.52
Argentina,Soybeans,26937,591.0,62397.0,17.23
Argentina,Soybeans,26937,591.0,62397.0,17.52
Argentina,Sweet potatoes,175055,591.0,62397.0,17.23
Argentina,Sweet potatoes,175055,591.0,62397.0,17.52
Argentina,Wheat,26088,591.0,62397.0,17.23
Argentina,Wheat,26088,591.0,62397.0,17.52
Argentina,Cassava,100000,591.0,62831.39,17.15
Argentina,Cassava,100000,591.0,62831.39,17.71
Argentina,Maize,53702,591.0,62831.39,17.15
